Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2026-03-23T23:10:20.171Z","Included","composer-2-fast","No","0","14712","1057472","2617","1074801","Included"
"2026-03-23T23:07:25.364Z","Included","composer-2-fast","No","0","113617","773632","3417","890666","Included"
"2026-03-23T23:01:46.148Z","Included","composer-2-fast","No","0","13691","300992","3926","318609","Included"
"2026-03-23T22:59:24.285Z","Included","composer-2-fast","No","0","1531","300640","2635","304806","Included"
"2026-03-23T22:55:10.242Z","Included","composer-2-fast","No","0","43318","2157440","13943","2214701","Included"
"2026-03-23T22:53:10.076Z","Included","composer-2-fast","No","0","8856","196160","3342","208358","Included"
"2026-03-23T22:52:35.897Z","Included","composer-2-fast","No","0","8845","195040","2292","206177","Included"
"2026-03-23T22:51:04.815Z","Included","composer-2-fast","No","0","6890","64352","2271","73513","Included"
"2026-03-23T22:47:11.443Z","Included","composer-2-fast","No","0","54050","702496","6523","763069","Included"
"2026-03-23T22:37:50.665Z","Included","composer-2-fast","No","0","33753","127264","5955","166972","Included"
"2026-03-23T22:30:37.506Z","Included","composer-2-fast","No","0","87065","106784","8118","201967","Included"
"2026-03-23T22:26:02.441Z","Included","composer-2-fast","No","0","192168","1277312","2726","1472206","Included"
"2026-03-23T20:53:27.028Z","Included","gpt-5.3-codex","No","0","33238","779776","1547","814561","Included"
"2026-03-23T20:41:15.478Z","Included","gpt-5.3-codex","No","0","140070","1748352","13076","1901498","Included"
"2026-03-23T20:37:38.947Z","Included","gpt-5.3-codex","No","0","126692","919424","3936","1050052","Included"
"2026-03-23T20:33:44.724Z","Included","composer-2-fast","No","0","23570","510688","821","535079","Included"
"2026-03-23T20:23:22.305Z","Included","composer-2-fast","No","0","58953","2440576","18573","2518102","Included"
"2026-03-23T20:22:05.033Z","Included","composer-2-fast","No","0","5465","432416","4412","442293","Included"
"2026-03-23T20:20:07.719Z","Included","composer-2-fast","No","0","42262","489984","6913","539159","Included"
"2026-03-23T20:18:42.358Z","Included","composer-2-fast","No","0","37630","127616","3729","168975","Included"
"2026-03-23T20:17:02.095Z","Included","composer-2-fast","No","0","36133","176928","6233","219294","Included"
"2026-03-23T20:16:20.798Z","Included","composer-2-fast","No","0","14077","33472","570","48119","Included"
"2026-03-23T20:14:43.323Z","Included","composer-2-fast","No","0","14086","1254752","4095","1272933","Included"
"2026-03-23T20:10:52.587Z","Included","composer-2-fast","No","0","3768","682112","4150","690030","Included"
"2026-03-23T20:07:41.193Z","Included","composer-2-fast","No","0","8432","1904928","9347","1922707","Included"
"2026-03-23T20:06:20.122Z","Included","composer-2-fast","No","0","2591","884224","2822","889637","Included"
"2026-03-23T20:05:18.728Z","Included","composer-2-fast","No","0","2579","854208","2870","859657","Included"
"2026-03-23T20:04:05.274Z","Included","composer-2-fast","No","0","2682","685408","2609","690699","Included"
"2026-03-23T19:58:05.467Z","Included","composer-2-fast","No","0","27656","2024832","8409","2060897","Included"
"2026-03-23T19:55:03.595Z","Included","composer-2-fast","No","0","8268","1593152","8886","1610306","Included"
"2026-03-23T19:53:46.650Z","Included","composer-2-fast","No","0","7049","557824","5095","569968","Included"
"2026-03-23T19:52:44.678Z","Included","composer-2-fast","No","0","3288","551904","5176","560368","Included"
"2026-03-23T19:50:44.462Z","Included","composer-2-fast","No","0","36967","1032576","11012","1080555","Included"
"2026-03-23T19:49:19.469Z","Included","composer-2-fast","No","0","25132","585056","6730","616918","Included"
"2026-03-23T19:47:08.907Z","Included","composer-2-fast","No","0","21464","53824","2096","77384","Included"
"2026-03-23T19:38:16.944Z","Included","composer-2-fast","No","0","15646","5120","921","21687","Included"
"2026-03-23T19:35:36.486Z","Included","composer-2-fast","No","0","24866","1107744","9200","1141810","Included"
"2026-03-23T19:22:58.861Z","Included","composer-2-fast","No","0","11492","1293376","6516","1311384","Included"
"2026-03-23T19:22:01.382Z","Included","composer-2-fast","No","0","1606","299552","1055","302213","Included"
"2026-03-23T19:21:39.029Z","Included","composer-2-fast","No","0","3277","734880","1109","739266","Included"
"2026-03-23T19:12:10.709Z","Included","composer-2-fast","No","0","108819","4528128","33428","4670375","Included"
"2026-03-23T16:17:44.756Z","Included","claude-4.6-opus-high-thinking","No","34251","12","905668","6883","946814","Included"
"2026-03-23T16:12:35.345Z","Included","claude-4.6-opus-high-thinking","No","164189","87031","214989","14184","480393","Included"
"2026-03-23T16:08:39.388Z","Included","claude-4.6-opus-high-thinking","No","373213","241417","371066","10555","996251","Included"
"2026-03-23T16:04:52.062Z","Included","gpt-5.3-codex","No","0","67809","765824","2939","836572","Included"
"2026-03-23T16:01:34.892Z","Included","gpt-5.3-codex","No","0","20629","976000","2005","998634","Included"
"2026-03-23T15:57:56.150Z","Included","gpt-5.3-codex","No","0","29593","718208","2141","749942","Included"
"2026-03-23T15:53:52.559Z","Included","gpt-5.3-codex","No","0","3857","680704","1723","686284","Included"
"2026-03-23T15:52:41.405Z","Included","gpt-5.3-codex","No","0","328582","7680","6915","343177","Included"
"2026-03-23T15:31:20.943Z","Included","gpt-5.3-codex","No","0","191753","4321664","10648","4524065","Included"
"2026-03-23T15:28:17.226Z","Included","gpt-5.3-codex","No","0","339649","2418560","5303","2763512","Included"
"2026-03-23T15:22:23.074Z","Included","composer-2-fast","No","0","26703","732544","6946","766193","Included"
"2026-03-23T15:17:20.258Z","Included","composer-2-fast","No","0","381103","2729760","12472","3123335","Included"
"2026-03-20T21:22:05.854Z","Included","composer-2-fast","No","0","865","171008","556","172429","Included"
"2026-03-20T21:14:56.723Z","Included","composer-2-fast","No","0","176050","841728","3509","1021287","Included"
"2026-03-20T21:13:58.106Z","Included","composer-2-fast","No","0","6842","813056","1983","821881","Included"
"2026-03-20T21:12:48.333Z","Included","composer-2-fast","No","0","10093","150016","987","161096","Included"
"2026-03-20T21:00:00.652Z","Included","composer-2-fast","No","0","28172","1513472","6346","1547990","Included"
"2026-03-20T20:53:58.469Z","Included","composer-2-fast","No","0","11885","599040","7032","617957","Included"
